#{"t_start": 1701078767.9973032, "env_id": "None"}
r,l,t
1.471854,90,2772.736024
0.386281,84,2774.799783
1.466932,87,2776.744586
0.57984,395,2785.363695
0.985518,90,2787.912816
1.770146,291,2794.543591
2.695376,391,2802.996033
1.683066,142,2806.251765
0.700802,232,2811.506385
1.292364,97,2813.902917
1.323278,330,2821.186146
0.629106,301,2827.840948
1.39788,94,2830.167722
1.361521,151,2833.685329
3.026972,175,2837.723427
1.729369,195,2842.223436
0.624943,137,2845.502289
0.681393,110,2848.170382
2.612433,400,2857.780778
0.347735,221,2862.887211
1.217055,122,2865.839085
1.331163,104,2868.404804
0.52547,120,2871.290146
0.599304,87,2873.506844
0.370666,66,2875.305296
1.165133,165,2879.179987
0.129718,84,2881.333616
0.394112,67,2883.156501
0.445774,70,2885.016702
0.829572,101,2887.590362
1.47939,166,2891.533264
0.736292,97,2893.909121
0.872981,238,2899.650496
1.062876,169,2903.559388
2.008196,113,2906.263851
0.70939,151,2909.975889
1.661017,155,2913.877783
1.493993,567,2926.360728
1.739475,103,2928.914309
1.492356,94,2931.271787
1.520792,262,2937.193835
1.24639,93,2939.538171
1.34988,169,2943.495823
2.328414,202,2948.148885
1.882659,451,2958.071623
1.665946,294,2964.562526
1.607991,216,2969.463466
1.338638,149,2972.996811
1.152854,262,2978.938493
1.511839,124,2981.94076
1.118145,111,2984.620868
1.602102,304,2991.413032
1.234682,101,2993.928205
2.576922,309,3000.819191
1.215888,88,3003.025505
1.122803,104,3005.591339
2.424892,178,3009.705398
0.5931,206,3014.475159
1.190387,113,3017.231094
1.677343,340,3024.770872
1.432688,99,3027.231853
1.571184,129,3030.109504
1.084883,110,3032.603622
1.574964,153,3035.806326
1.562393,157,3039.029788
2.553642,235,3044.166764
1.590016,284,3050.184312
1.446712,263,3055.79365
0.626266,136,3058.978216
2.295619,295,3065.181145
1.676279,121,3067.996235
2.069022,169,3071.79529
1.108929,94,3074.062586
1.709924,446,3083.539617
1.521881,108,3086.085948
4.631863,413,3094.917712
2.786448,173,3098.83567
2.260286,400,3107.050886
0.859717,103,3109.371686
1.459543,318,3115.948751
1.186978,126,3118.95327
2.023612,322,3125.96978
1.469156,146,3129.445163
1.652867,207,3134.415898
1.120407,157,3138.113574
1.218728,132,3141.256948
